Product,Name,Rating,CommentHead,Comment
car,Flipkart Customer,5,Worth every penny,Cute carsREAD MORE
car,afreen Najaf,5,Perfect product!,Looking cute carREAD MORE
car,Flipkart Customer,5,Awesome,I love this carsREAD MORE
